Tên trang sức	Loại hình chính	Loại hình phụ	Phân loại chi tiết	Nặng	Giá	Ngũ hành	Độ bền	Phòng ngự (Nội, ngoại)	Thuộc tính hỗ trợ 1	Trị số Thuộc tính hỗ trợ 1	Thuộc tính hỗ trợ 2	Trị số Thuộc tính hỗ trợ 2	Số trang bị	Đắng cấp yêu cầu	Giới tính yêu cầu	Thể hình yêu cầu	Môn phái yêu cầu	Hiện hình nhỏ trên giao diện	Hiện hình lớn trên giao diện	Thuyết minh	ì°±áễÚẫớẫẽàÄấ±ºũÊơấạểÃàÄẽễấắÀàéÍÃỷìệ	Khi vứt ra ngoài sẽ hiển thị tên	File gốc	Đánh giá đẳng cấp	Có/không thể giao dịch (0 được,1 không được,)	Có/không thể vứt (0 được; 1 không được)	Lưu phái	Có/Không thể sửa (0Có/1Không)	Dự Lưu	Tiêu chí phát triển	Biên hiệu phát triển	Biên hiệu mở khóa	Biên hiệu kinh nghiệm
Liêu_Hỏa Phụng Nguyên Soái Hiệu Kỳ	0	102	31121	30	40000	0	200						31809	690	2	4	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợÅặ3_A1.spr	\image\item\ring\ÀìằÂÁợÅặ3_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 7,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Liêu_Hỏa Phụng Nguyên Soái Hiệu Kỳ	0	102	31122	30	40000	0	200						31810	690	2	3	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợÅặ3_A1.spr	\image\item\ring\ÀìằÂÁợÅặ3_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 7,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Liêu_Hỏa Phụng Nguyên Soái Hiệu Kỳ	0	102	31123	30	40000	0	200						31811	690	2	4	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợÅặ3_A1.spr	\image\item\ring\ÀìằÂÁợÅặ3_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Nguyên Soái hoặc Công Trạng đạt đến 7,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Nhẫn Hào Hiệp (Phế)	0	102	31124	10	10000	0	100							890			Tân thủ không thể dùng	\image\item\ring\ạõếẹÁềẻọẵọệá(ìẽ)a1.spr	\image\item\ring\ạõếẹÁềẻọẵọệá(ìẽ)a0.spr	"Ta có Hào Hiệp, uy trấn tứ phương."		Đã khóa		10;10	4	1		0		99	37	35	12
Bội Hào Hiệp (Phế)	0	102	31125	10	10000	0	100							890			Tân thủ không thể dùng	\image\item\ring\ạõếẹÁềẻọểủÅồ(ìẽ)a1.spr	\image\item\ring\ạõếẹÁềẻọểủÅồ(ìẽ)a0.spr	"Ta có Hào Hiệp, uy trấn tứ phương."		Đã khóa		10;10	4	1		0		99	37	35	12
Hào Hiệp Giới	0	102	31126	10	10000	0	100						31972	890			Tân thủ không thể dùng	\image\item\ring\ạõếẹÁềẻọẵọệá(ìẽ)a1.spr	\image\item\ring\ạõếẹÁềẻọẵọệá(ìẽ)a0.spr	"Ta có Hào Hiệp, uy trấn tứ phương."		Đã khóa		10;10	4	1		0		99	41	39	12
Hào Hiệp Bội	0	102	31127	10	10000	0	100						31972	890			Tân thủ không thể dùng	\image\item\ring\ạõếẹÁềẻọểủÅồ(ìẽ)a1.spr	\image\item\ring\ạõếẹÁềẻọểủÅồ(ìẽ)a0.spr	"Ta có Hào Hiệp, uy trấn tứ phương."		Đã khóa		10;10	4	1		0		99	41	39	12
Hào Hiệp Giới-Vô Hạ	0	102	31128	10	10000	0	100						31973	690			Tân thủ không thể dùng	\image\item\ring\ạõếẹÁềẻọẵọệá(ìẽ)a1.spr	\image\item\ring\ạõếẹÁềẻọẵọệá(ìẽ)a0.spr	"Ta có Hào Hiệp, uy trấn tứ phương."		Đã khóa		10;10	4	1		0		99	41	39	12
Hào Hiệp Bội-Vô Hạ	0	102	31129	10	10000	0	100						31973	690			Tân thủ không thể dùng	\image\item\ring\ạõếẹÁềẻọểủÅồ(ìẽ)a1.spr	\image\item\ring\ạõếẹÁềẻọểủÅồ(ìẽ)a0.spr	"Ta có Hào Hiệp, uy trấn tứ phương."		Đã khóa		10;10	4	1		0		99	41	39	12
Nhẫn Vô Cực	0	102	31130	10	10000	0	100						31977	80			Tân thủ không thể dùng	\image\item\ring\ẻịẳôẵọa1.spr	\image\item\ring\ẻịẳôẵọa0.spr	"Nhẫn đại diện cho tột cùng của đạo, đeo nó có thể tạo được kỳ tích."		Đã khóa		10	4	1		0					
Minh Tinh Chi Giới	0	102	31131	10	10000	0	100						31977	80			Tân thủ không thể dùng	\image\item\ring\ÚÔéầẵọa1.spr	\image\item\ring\ÚÔéầẵọa0.spr	"Đại diện cho một loại sức mạnh thần bí không nhìn thấy, đeo nó có thể sẽ có chuyện thần kỳ xảy ra."		Đã khóa		10	4	1		0					
Tống_Thanh Long Tướng Quân Lệnh Bài	0	102	31132	10	10000	0	100						31981	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợÅặ_a1.spr	\image\item\ring\ầàÁỳÁợÅặ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Tống_Thanh Long Tướng Quân Lệnh Bài	0	102	31133	10	10000	0	100						31982	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợÅặ_a1.spr	\image\item\ring\ầàÁỳÁợÅặ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Tống_Thanh Long Tướng Quân Lệnh Bài	0	102	31134	10	10000	0	100						31983	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợÅặ_a1.spr	\image\item\ring\ầàÁỳÁợÅặ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Tống_Thanh Long Tướng Quân Lệnh Bài	0	102	31135	10	10000	0	100						31984	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợÅặ_a1.spr	\image\item\ring\ầàÁỳÁợÅặ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Tống_Thanh Long Tướng Quân Lệnh Bài	0	102	31136	10	10000	0	100						31985	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợÅặ_a1.spr	\image\item\ring\ầàÁỳÁợÅặ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Tống_Thanh Long Tướng Quân Lệnh Bài	0	102	31137	10	10000	0	100						31986	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợÅặ_a1.spr	\image\item\ring\ầàÁỳÁợÅặ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Tống_Thanh Long Tướng Quân Lệnh Bài	0	102	31138	10	10000	0	100						31987	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợÅặ_a1.spr	\image\item\ring\ầàÁỳÁợÅặ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Tống_Thanh Long Tướng Quân Lệnh Bài	0	102	31139	10	10000	0	100						31988	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợÅặ_a1.spr	\image\item\ring\ầàÁỳÁợÅặ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Tống_Thanh Long Tướng Quân Lệnh Bài	0	102	31140	10	10000	0	100						31989	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợÅặ_a1.spr	\image\item\ring\ầàÁỳÁợÅặ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Tống_Thanh Long Tướng Quân Lệnh Bài	0	102	31141	10	10000	0	100						31990	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợÅặ_a1.spr	\image\item\ring\ầàÁỳÁợÅặ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Tống_Thanh Long Tướng Quân Lệnh Bài	0	102	31142	10	10000	0	100						31991	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợÅặ_a1.spr	\image\item\ring\ầàÁỳÁợÅặ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Tống_Thanh Long Tướng Quân Lệnh Bài	0	102	31143	10	10000	0	100						31992	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợÅặ_a1.spr	\image\item\ring\ầàÁỳÁợÅặ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Tống_Thanh Long Tướng Quân Lệnh Bài	0	102	31144	10	10000	0	100						31993	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợÅặ_a1.spr	\image\item\ring\ầàÁỳÁợÅặ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Tống_Thanh Long Tướng Quân Lệnh Bài	0	102	31145	10	10000	0	100						31994	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợÅặ_a1.spr	\image\item\ring\ầàÁỳÁợÅặ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Tống_Thanh Long Tướng Quân Lệnh Bài	0	102	31146	10	10000	0	100						31995	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợÅặ_a1.spr	\image\item\ring\ầàÁỳÁợÅặ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Tống_Thanh Long Tướng Quân Lệnh Bài	0	102	31147	10	10000	0	100						31996	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợÅặ_a1.spr	\image\item\ring\ầàÁỳÁợÅặ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Tống_Thanh Long Tướng Quân Lệnh Bài	0	102	31148	10	10000	0	100						31997	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợÅặ_a1.spr	\image\item\ring\ầàÁỳÁợÅặ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tống_Thanh Long Tướng Quân Lệnh Bài	0	102	31149	10	10000	0	100						31998	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợÅặ_a1.spr	\image\item\ring\ầàÁỳÁợÅặ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tống_Thanh Long Tướng Quân Lệnh Bài	0	102	31150	10	10000	0	100						31999	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợÅặ_a1.spr	\image\item\ring\ầàÁỳÁợÅặ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Tống_Thanh Long Tướng Quân Lệnh Bài	0	102	31151	10	10000	0	100						32000	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợÅặ_a1.spr	\image\item\ring\ầàÁỳÁợÅặ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Tống_Thanh Long Tướng Quân Lệnh Kỳ	0	102	31152	10	10000	0	100						31981	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợặỡ_a1.spr	\image\item\ring\ầàÁỳÁợặỡ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Tống_Thanh Long Tướng Quân Lệnh Kỳ	0	102	31153	10	10000	0	100						31982	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợặỡ_a1.spr	\image\item\ring\ầàÁỳÁợặỡ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Tống_Thanh Long Tướng Quân Lệnh Kỳ	0	102	31154	10	10000	0	100						31983	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợặỡ_a1.spr	\image\item\ring\ầàÁỳÁợặỡ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Tống_Thanh Long Tướng Quân Lệnh Kỳ	0	102	31155	10	10000	0	100						31984	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợặỡ_a1.spr	\image\item\ring\ầàÁỳÁợặỡ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Tống_Thanh Long Tướng Quân Lệnh Kỳ	0	102	31156	10	10000	0	100						31985	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợặỡ_a1.spr	\image\item\ring\ầàÁỳÁợặỡ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Tống_Thanh Long Tướng Quân Lệnh Kỳ	0	102	31157	10	10000	0	100						31986	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợặỡ_a1.spr	\image\item\ring\ầàÁỳÁợặỡ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Tống_Thanh Long Tướng Quân Lệnh Kỳ	0	102	31158	10	10000	0	100						31987	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợặỡ_a1.spr	\image\item\ring\ầàÁỳÁợặỡ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Tống_Thanh Long Tướng Quân Lệnh Kỳ	0	102	31159	10	10000	0	100						31988	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợặỡ_a1.spr	\image\item\ring\ầàÁỳÁợặỡ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Tống_Thanh Long Tướng Quân Lệnh Kỳ	0	102	31160	10	10000	0	100						31989	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợặỡ_a1.spr	\image\item\ring\ầàÁỳÁợặỡ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Tống_Thanh Long Tướng Quân Lệnh Kỳ	0	102	31161	10	10000	0	100						31990	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợặỡ_a1.spr	\image\item\ring\ầàÁỳÁợặỡ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Tống_Thanh Long Tướng Quân Lệnh Kỳ	0	102	31162	10	10000	0	100						31991	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợặỡ_a1.spr	\image\item\ring\ầàÁỳÁợặỡ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Tống_Thanh Long Tướng Quân Lệnh Kỳ	0	102	31163	10	10000	0	100						31992	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợặỡ_a1.spr	\image\item\ring\ầàÁỳÁợặỡ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Tống_Thanh Long Tướng Quân Lệnh Kỳ	0	102	31164	10	10000	0	100						31993	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợặỡ_a1.spr	\image\item\ring\ầàÁỳÁợặỡ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Tống_Thanh Long Tướng Quân Lệnh Kỳ	0	102	31165	10	10000	0	100						31994	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợặỡ_a1.spr	\image\item\ring\ầàÁỳÁợặỡ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Tống_Thanh Long Tướng Quân Lệnh Kỳ	0	102	31166	10	10000	0	100						31995	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợặỡ_a1.spr	\image\item\ring\ầàÁỳÁợặỡ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Tống_Thanh Long Tướng Quân Lệnh Kỳ	0	102	31167	10	10000	0	100						31996	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợặỡ_a1.spr	\image\item\ring\ầàÁỳÁợặỡ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Tống_Thanh Long Tướng Quân Lệnh Kỳ	0	102	31168	10	10000	0	100						31997	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợặỡ_a1.spr	\image\item\ring\ầàÁỳÁợặỡ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tống_Thanh Long Tướng Quân Lệnh Kỳ	0	102	31169	10	10000	0	100						31998	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợặỡ_a1.spr	\image\item\ring\ầàÁỳÁợặỡ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tống_Thanh Long Tướng Quân Lệnh Kỳ	0	102	31170	10	10000	0	100						31999	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợặỡ_a1.spr	\image\item\ring\ầàÁỳÁợặỡ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Tống_Thanh Long Tướng Quân Lệnh Kỳ	0	102	31171	10	10000	0	100						32000	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳÁợặỡ_a1.spr	\image\item\ring\ầàÁỳÁợặỡ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Tống_Thanh Long Tướng Quân Lệnh Phù	0	102	31172	10	10000	0	100						31981	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳằÂãỷ_a1.spr	\image\item\ring\ầàÁỳằÂãỷ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Tống_Thanh Long Tướng Quân Lệnh Phù	0	102	31173	10	10000	0	100						31982	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳằÂãỷ_a1.spr	\image\item\ring\ầàÁỳằÂãỷ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Tống_Thanh Long Tướng Quân Lệnh Phù	0	102	31174	10	10000	0	100						31983	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳằÂãỷ_a1.spr	\image\item\ring\ầàÁỳằÂãỷ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Tống_Thanh Long Tướng Quân Lệnh Phù	0	102	31175	10	10000	0	100						31984	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳằÂãỷ_a1.spr	\image\item\ring\ầàÁỳằÂãỷ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Tống_Thanh Long Tướng Quân Lệnh Phù	0	102	31176	10	10000	0	100						31985	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳằÂãỷ_a1.spr	\image\item\ring\ầàÁỳằÂãỷ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Tống_Thanh Long Tướng Quân Lệnh Phù	0	102	31177	10	10000	0	100						31986	790			Tân thủ không thể dùng	\image\item\ring\ầàÁỳằÂãỷ_a1.spr	\image\item\ring\ầàÁỳằÂãỷ_a0.spr	"Tứ Linh Thần-Thanh Long ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 5,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
