Tên	Loại hình chính	Loại hình phụ	Phân loại chi tiết	Nặng	Giá	Bí kiếp âm dương	Số thứ tự bí kiếp	Thêm công kích ngoại công chủ động:	Tầng thứ	Thêm công kích nội công chủ động:	Tầng thứ	Thêm công kích phụ trợ: 	Tầng thứ 	Thêm phòng ngự phụ trợ:	Tầng thứ	Số phụ lục mật tịch	Tầng thứ 	Hiện hình nhỏ trên giao diện	Hiện hình lớn trên giao diện	Thuyết minh	Khi sử dụng trang bị sẽ hiển thị tên loại hình	Khi vứt ra ngoài sẽ hiển thị tên	File gốc	Cấp	Phẩm chất mật tịch kỹ năng	Có/không thể vứt (0 được; 1 không được)	Lưu phái	Lưu ( Chữ số)	Bối cảnh
Trấn Quân Phi Long Thương Chân Quyển	0	107	214	1	10	1	1446;1447	60;120	30;50	10;20	0;10	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\ếũắỹãẫÁỳầạếổắớa1.spr	\image\item\book\ếũắỹãẫÁỳầạếổắớa0.spr	Mật tịch lưu trữ tâm pháp bí truyền của Dương Môn Thương Kỵ “Vô Song Trấn Quên Phi Long Thương”cùng với chiêu thức tinh túy của nhánh phái Thương Kỵ		Mật tịch		70	0;60	1	17		
Xuyên Vân Lạc Hồng Chân Quyển	0	107	215	1	10	1	1448;1449	60;120	30;50	10;20	0;10	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\´âễặÂọºỗếổắớa1.spr	\image\item\book\´âễặÂọºỗếổắớa0.spr	Mật tịch lưu trữ tiễn thuật bí truyền của Dương Môn Cung Kỵ “Vô Song Xuyên Vân Lạc Hồng TIễn”cùng với chiêu thức tinh túy của nhánh phái Cung Kỵ		Mật tịch		70	0;60	1	18		
Huyền Minh Phong Ma Chân Quyển	0	107	216	1	10	1	1450;1451	60;120	30;50	10;20	0;10	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\ểÄÚÔãõÄĐếổắớa1.spr	\image\item\book\ểÄÚÔãõÄĐếổắớa0.spr	Mật tịch lưu trữ tà thuật linh chú của Ngũ Độc Tà Hiệp“Vô Song U Minh Phong Ma Quyết”cùng với chiêu thức tinh túy của nhánh phái Tà Hiệp ám thuật		Mật tịch		70	0;60	1	20		
Linh Cổ Huyền Tà Chân Quyển	0	107	217	1	10	1	1452;1453	10;20	0;10	30;60	20;30	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\ÁộạặằÃé°ếổắớa1.spr	\image\item\book\ÁộạặằÃé°ếổắớa0.spr	Mật tịch lưu trữ cổ linh thần bí của Ngũ Độc Cổ Sư “Vô Song Huyền Linh Cổ”cùng với chiêu thức tinh túy của nhánh phái Cổ Sư cổ thuật		Mật tịch		70	0;60	1	21		
Cửu Thiên Phong Lôi Chân Quyển	0	107	218	1	10	0	1454;1455	10;20	0;10	60;120	30;50	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\ắÅèỡãỗÀìếổắớa1.spr	\image\item\book\ắÅèỡãỗÀìếổắớa0.spr	Ghi lại bùa pháp thần bí của Côn Lôn Thiên Sư "Vô Song Cửu Thiên Phong Lôi Quyết" với sự tinh túy của chiêu thức		Mật tịch		70	0;60	1	23		
Hồi Phong Trảm Nhật Chân Quyển	0	107	219	1	10	0	1456;1457	60;120	30;50	10;20	0;10	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\ằỉãổếảẩếếổắớa1.spr	\image\item\book\ằỉãổếảẩếếổắớa0.spr	Ghi lại chiến pháp bất bại "Vô Song Hồi Phong Trảm Nhật Công" của Minh Giao Thánh Chiến, ngoài ra có ghi lại những tinh túy trong chiêu thức của Thánh Chiến		Mật tịch		70	0;60	1	25		
Phụ Kỳ Hành Trận Chân Quyển	0	107	220	1	10	0	1458;1459	60;120	30;50	10;20	0;10	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\áºặỡééếúếổắớa1.spr	\image\item\book\áºặỡééếúếổắớa0.spr	Ghi lại trận pháp huyền diệu "Vô Song Phụ Kỳ Hành Trận Lệnh" của Minh Giáo Trận Binh, ngoài ra có ghi lại những tinh túy trong chiêu thức của Trận Binh		Mật tịch		70	0;60	1	26		
Ngưng Huyết Phong Hồn Chân Quyển	0	107	221	1	10	0	1460;1461	10;20	0;10	60;120	30;50	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\Äýẹêãõằờếổắớa1.spr	\image\item\book\Äýẹêãõằờếổắớa0.spr	Ghi lại trận bùa chú "Vô Song Ngưng Phong Hồn ấn" của Minh Giáo Huyết Nhân, ngoài ra có ghi lại những tinh túy trong chiêu thức của Huyêt Nhân		Mật tịch		70	0;60	1	27		
Hồng Trần Túy Mộng Chân Quyển	0	107	222	1	10	0	1462;1463	60;120	30;50	10;20	0;10	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\ºỡ³ắìớÃẻếổắớa1.spr	\image\item\book\ºỡ³ắìớÃẻếổắớa0.spr	Ghi lại vũ nghệ tuyệt thế của Thúy Yên Vũ Tiên "Vô Song Hồng Trần Túy Mộng Ngâm" với sự tinh túy của chiêu thức.		Mật tịch		70	0;60	1	29		
Phong Hoa Thiên Diệp Chân Quyển	0	107	223	1	10	0	1464;1465	60;120	30;50	10;20	0;10	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\ãỗằăầĐềảếổắớa1.spr	\image\item\book\ãỗằăầĐềảếổắớa0.spr	Ghi lại chuyển thế kỳ thuật của Thúy Yên Linh Nữ "Vô Song Phong Hoa Thiên Diệp" với tâm pháp tinh túy của chiêu thức		Mật tịch		70	0;60	1	30		
Mật Tịch Tiêu Dao	0	112	224	1	10	0	1466;1467	0	0	0	0	0	0	0	0	0	0	\image\item\book\ồéềÊÃỉẳđa1.spr	\image\item\book\ồéềÊÃỉẳđa0.spr	Mật tịch võ học ghi chép tuyệt học trấn phái của Phái Tiêu Dao: Lăng Ba Vi Bộ; thoát khỏi vòng vây của vạn quân như đi giữa đồng vắng		Mật tịch		60	0				Lăng Ba Vi Bộ là tuyệt học thượng thừa của "Tiêu Dao Phái", dùng 64 quẻ phương vị làm nội dung quan trọng của bộ pháp. Có thể nhanh chóng thoát khỏi những nơi nguy hiểm, nhưng nếu gặp vật cản giữa đường sẽ dẫn đến kinh mạch đại loạn, nội lực tích tụ dẫn đến thân thể tàn phế, vô cùng nguy hiểm.
Mật Tịch Tiêu Dao Tàn Quyển	0	112	225	1	10	0	1469	0	0	0	0	0	0	0	0	0	0	\image\item\book\ồéềÊÃỉẳđ²éắớa1.spr	\image\item\book\ồéềÊÃỉẳđ²éắớa0.spr	Tàn quyển Mật tịch võ học ghi chép tuyệt học trấn phái của Phái Tiêu Dao; có thể giảm sát thương của bản thân		Mật tịch		60	0				Lăng Ba Vi Bộ là tuyệt học thượng thừa của "Tiêu Dao Phái", dùng 64 quẻ phương vị làm nội dung quan trọng của bộ pháp. Có thể nhanh chóng thoát khỏi những nơi nguy hiểm, nhưng nếu gặp vật cản giữa đường sẽ dẫn đến kinh mạch đại loạn, nội lực tích tụ dẫn đến thân thể tàn phế, vô cùng nguy hiểm.
Mật Tịch Tiêu Dao Tàn Chương	0	112	226	1	10	0	1470;1471	0	0	0	0	0	0	0	0	0	0	\image\item\book\ồéềÊÃỉẳđ²éề³a1.spr	\image\item\book\ồéềÊÃỉẳđ²éề³a0.spr	Mật tịch võ học ghi chép tuyệt học trấn phái của Phái Tiêu Dao: Lăng Ba Vi Bộ; thoát khỏi vòng vây của vạn quân như đi giữa đồng vắng		Mật tịch		60	0				Lăng Ba Vi Bộ là tuyệt học thượng thừa của "Tiêu Dao Phái", dùng 64 quẻ phương vị làm nội dung quan trọng của bộ pháp. Có thể nhanh chóng thoát khỏi những nơi nguy hiểm, nhưng nếu gặp vật cản giữa đường sẽ dẫn đến kinh mạch đại loạn, nội lực tích tụ dẫn đến thân thể tàn phế, vô cùng nguy hiểm.
Kim Cang Bát Nhã Chân Quyển (Cao cấp)	0	107	30001	1	10	2	1426;1427	150;150	30;50	10;10	0;10	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\ẵðáế°óẩụếổắớa1.spr	\image\item\book\ẵðáế°óẩụếổắớa0.spr	Mật tịch lưu trữ võ công huyền bí của Thiếu Lâm Tục Gia “Vô Song Kim Cang Bàn Nhược Công” cùng với chiêu thức tinh túy của nhánh phái Tục Gia		Mật tịch		70	0;60	1	2		
Tiềm Long Túc Diệt Chân Quyển (Cao cấp)	0	107	30002	1	10	2	1428;1429	10;10	0;10	150;150	30;50	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\ầ±ÁỳẳÅÃðếổắớa1.spr	\image\item\book\ầ±ÁỳẳÅÃðếổắớa0.spr	Mật tịch lưu trữ nội công bí truyền của Thiếu Lâm Võ Tăng “Vô Song Tiềm Long Túc Diệt Công”cùng với chiêu thức tinh túy của nhánh phái Võ Tăng		Mật tịch		70	0;60	1	4		
Vô Trần Bồ Đề Chân Quyển (Cao cấp)	0	107	30003	1	10	2	1430;1431	10;10	0;10	150;150	30;50	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\ẻị³ắặéèỏếổắớa1.spr	\image\item\book\ẻị³ắặéèỏếổắớa0.spr	Mật tịch lưu trữ nội công bí truyền của Thiếu Lâm Thiền Tông“Vô Song Vô Trần Bồ Đề Công”cùng với chiêu thức tinh túy của nhánh phái Thiền Tông		Mật tịch		70	0;60	1	3		
Thiên La Liên Châu Chân Quyển (Cao cấp)	0	107	30004	1	10	1	1432;1433	150;150	30;50	10;10	0;10	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\èỡÂịÁơệộếổắớa1.spr	\image\item\book\èỡÂịÁơệộếổắớa0.spr	Mật tịch lưu trữ kỹ thuật bẫy huyền bí của Đường Môn “Vô Song Thiên La Liên Châu Võng”cùng với chiêu thức tinh túy của Đường Môn ám khí thuật		Mật tịch		70	0;60	1	6		
Như ý Kim Đỉnh Chân Quyển (Cao cấp)	0	107	30005	1	10	1	1434;1435	10;10	0;10	150;150	30;50	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\ẩỗềõẵðảƠếổắớa1.spr	\image\item\book\ẩỗềõẵðảƠếổắớa0.spr	Mật tịch lưu trữ nội công huyền bí của Nga Mi Phật Gia “Vô Song Như ý Kim Cang Đỉnh”cùng với chiêu thức tinh túy của nhánh phái Phật Gia 		Mật tịch		70	0;60	1	8		
Bích Hải Tuyệt Âm Chân Quyển (Cao cấp)	0	107	30006	1	10	1	1436;1437	10;10	0;10	150;150	30;50	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\±èºÊắứềụếổắớa1.spr	\image\item\book\±èºÊắứềụếổắớa0.spr	Mật tịch lưu trữ cầm khúc huyền bí của Nga Mi Tục Gia “Vô Song Bích Hải Tuyệt Âm Khúc”cùng với chiêu thức tinh túy của nhánh phái Tục Gia cầm khúc		Mật tịch		70	0;60	1	9		
Hỗn Độn Trấn Nhạc Chân Quyển (Cao cấp)	0	107	30007	1	10	2	1438;1439	150;150	30;50	10;10	0;10	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\ằỡóỗếũễÀếổắớa1.spr	\image\item\book\ằỡóỗếũễÀếổắớa0.spr	Mật tịch lưu trữ quyền pháp cao cáp của Cái Bang Tịnh Y “Vô Song Hỗn Độn Trấn Nhạc”cùng với chiêu thức tinh túy của nhánh phái Tịnh Y		Mật tịch		70	0;60	1	11		
Quỳ Thiên Du Long Chân Quyển (Cao cấp)	0	107	30008	1	10	2	1440;1441	150;150	30;50	10;10	0;10	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\ịủèỡểẻÁỳếổắớa1.spr	\image\item\book\ịủèỡểẻÁỳếổắớa0.spr	Mật tịch lưu trữ côn pháp cao cấp của Cái Bang Ô Y “Vô Song Quỳ Thiên Du Long Côn”cùng với chiêu thức tinh túy của nhánh phái Ô Y		Mật tịch		70	0;60	1	12		
Huyền ảnh Mê Tông Chân Quyển (Cao cấp)	0	107	30009	1	10	0	1442;1443	10;10	0;10	150;150	30;50	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\ằÃể°ÃễìÙếổắớa1.spr	\image\item\book\ằÃể°ÃễìÙếổắớa0.spr	Mật tịch lưu trữ kiếm pháp thần bí của Võ Đang Đạo Gia “Vô Song Huyền ảnh Mê Tông Kiếm”cùng với chiêu thức tinh túy của nhánh phái Đạo Gia kiếm khí		Mật tịch		70	0;60	1	14		
Quân Tử Đới Phong Chân Quyển (Cao cấp)	0	107	30010	1	10	0	1444;1445	150;150	30;50	10;10	0;10	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\ắýìểẵỉãỗếổắớa1.spr	\image\item\book\ắýìểẵỉãỗếổắớa0.spr	Mật tịch lưu trữ bút pháp thâm thúy của Võ Đang Tục Gia “Vô Song Quân Tử Đới Phong Quyết”cùng với chiêu thức tinh túy của nhánh phái Tục Gia		Mật tịch		70	0;60	1	15		
Trấn Quân Phi Long Thương Chân Quyển (Cao cấp)	0	107	30011	1	10	1	1446;1447	150;150	30;50	10;10	0;10	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\ếũắỹãẫÁỳầạếổắớa1.spr	\image\item\book\ếũắỹãẫÁỳầạếổắớa0.spr	Mật tịch lưu trữ tâm pháp bí truyền của Dương Môn Thương Kỵ “Vô Song Trấn Quên Phi Long Thương”cùng với chiêu thức tinh túy của nhánh phái Thương Kỵ		Mật tịch		70	0;60	1	17		
Xuyên Vân Lạc Hồng Chân Quyển (Cao cấp)	0	107	30012	1	10	1	1448;1449	150;150	30;50	10;10	0;10	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\´âễặÂọºỗếổắớa1.spr	\image\item\book\´âễặÂọºỗếổắớa0.spr	Mật tịch lưu trữ tiễn thuật bí truyền của Dương Môn Cung Kỵ “Vô Song Xuyên Vân Lạc Hồng TIễn”cùng với chiêu thức tinh túy của nhánh phái Cung Kỵ		Mật tịch		70	0;60	1	18		
Huyền Minh Phong Ma Chân Quyển (Cao cấp)	0	107	30013	1	10	1	1450;1451	150;150	30;50	10;10	0;10	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\ểÄÚÔãõÄĐếổắớa1.spr	\image\item\book\ểÄÚÔãõÄĐếổắớa0.spr	Mật tịch lưu trữ tà thuật linh chú của Ngũ Độc Tà Hiệp“Vô Song U Minh Phong Ma Quyết”cùng với chiêu thức tinh túy của nhánh phái Tà Hiệp ám thuật		Mật tịch		70	0;60	1	20		
Linh Cổ Huyền Tà Chân Quyển (Cao cấp)	0	107	30014	1	10	1	1452;1453	10;10	0;10	150;150	30;50	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\ÁộạặằÃé°ếổắớa1.spr	\image\item\book\ÁộạặằÃé°ếổắớa0.spr	Mật tịch lưu trữ cổ linh thần bí của Ngũ Độc Cổ Sư “Vô Song Huyền Linh Cổ”cùng với chiêu thức tinh túy của nhánh phái Cổ Sư cổ thuật		Mật tịch		70	0;60	1	21		
Cửu Thiên Phong Lôi Chân Quyển (Cao cấp)	0	107	30015	1	10	0	1454;1455	10;10	0;10	150;150	30;50	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\ắÅèỡãỗÀìếổắớa1.spr	\image\item\book\ắÅèỡãỗÀìếổắớa0.spr	Ghi lại bùa pháp thần bí của Côn Lôn Thiên Sư "Vô Song Cửu Thiên Phong Lôi Quyết" với sự tinh túy của chiêu thức		Mật tịch		70	0;60	1	23		
Hồng Trần Túy Mộng Chân Quyển (Cao cấp)	0	107	30016	1	10	0	1462;1463	150;150	30;50	10;10	0;10	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\ºỡ³ắìớÃẻếổắớa1.spr	\image\item\book\ºỡ³ắìớÃẻếổắớa0.spr	Ghi lại vũ nghệ tuyệt thế của Thúy Yên Vũ Tiên "Vô Song Hồng Trần Túy Mộng Ngâm" với sự tinh túy của chiêu thức.		Mật tịch		70	0;60	1	29		
Phong Hoa Thiên Diệp Chân Quyển (Cao cấp)	0	107	30017	1	10	0	1464;1465	150;150	30;50	10;10	0;10	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\ãỗằăầĐềảếổắớa1.spr	\image\item\book\ãỗằăầĐềảếổắớa0.spr	Ghi lại chuyển thế kỳ thuật của Thúy Yên Linh Nữ "Vô Song Phong Hoa Thiên Diệp" với tâm pháp tinh túy của chiêu thức		Mật tịch		70	0;60	1	30		
Kim Cang Bát Nhã Chân Quyển (Siêu cấp)	0	107	30018	1	10	2	1426;1427	200;200	30;50	10;10	0;10	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\ẵðáế°óẩụếổắớáÄa1.spr	\image\item\book\ẵðáế°óẩụếổắớáÄa0.spr	Mật tịch lưu trữ võ công huyền bí của Thiếu Lâm Tục Gia “Vô Song Kim Cang Bàn Nhược Công” cùng với chiêu thức tinh túy của nhánh phái Tục Gia		Mật tịch		70	0;60	1	2		
Tiềm Long Túc Diệt Chân Quyển (Siêu cấp)	0	107	30019	1	10	2	1428;1429	10;10	0;10	200;200	30;50	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\ầ±ÁỳẳÅÃðếổắớáÄa1.spr	\image\item\book\ầ±ÁỳẳÅÃðếổắớáÄa0.spr	Mật tịch lưu trữ nội công bí truyền của Thiếu Lâm Võ Tăng “Vô Song Tiềm Long Túc Diệt Công”cùng với chiêu thức tinh túy của nhánh phái Võ Tăng		Mật tịch		70	0;60	1	4		
Vô Trần Bồ Đề Chân Quyển (Siêu cấp)	0	107	30020	1	10	2	1430;1431	10;10	0;10	200;200	30;50	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\ẻị³ắặéèỏếổắớáÄa1.spr	\image\item\book\ẻị³ắặéèỏếổắớáÄa0.spr	Mật tịch lưu trữ nội công bí truyền của Thiếu Lâm Thiền Tông“Vô Song Vô Trần Bồ Đề Công”cùng với chiêu thức tinh túy của nhánh phái Thiền Tông		Mật tịch		70	0;60	1	3		
Thiên La Liên Châu Chân Quyển (Siêu cấp)	0	107	30021	1	10	1	1432;1433	200;200	30;50	10;10	0;10	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\èỡÂịÁơệộếổắớáÄa1.spr	\image\item\book\èỡÂịÁơệộếổắớáÄa0.spr	Mật tịch lưu trữ kỹ thuật bẫy huyền bí của Đường Môn “Vô Song Thiên La Liên Châu Võng”cùng với chiêu thức tinh túy của Đường Môn ám khí thuật		Mật tịch		70	0;60	1	6		
Như ý Kim Đỉnh Chân Quyển (Siêu cấp)	0	107	30022	1	10	1	1434;1435	10;10	0;10	200;200	30;50	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\ẩỗềõẵðảƠếổắớáÄa1.spr	\image\item\book\ẩỗềõẵðảƠếổắớáÄa0.spr	Mật tịch lưu trữ nội công huyền bí của Nga Mi Phật Gia “Vô Song Như ý Kim Cang Đỉnh”cùng với chiêu thức tinh túy của nhánh phái Phật Gia 		Mật tịch		70	0;60	1	8		
Bích Hải Tuyệt Âm Chân Quyển (Siêu cấp)	0	107	30023	1	10	1	1436;1437	10;10	0;10	200;200	30;50	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\±èºÊắứềụếổắớáÄa1.spr	\image\item\book\±èºÊắứềụếổắớáÄa0.spr	Mật tịch lưu trữ cầm khúc huyền bí của Nga Mi Tục Gia “Vô Song Bích Hải Tuyệt Âm Khúc”cùng với chiêu thức tinh túy của nhánh phái Tục Gia cầm khúc		Mật tịch		70	0;60	1	9		
Hỗn Độn Trấn Nhạc Chân Quyển (Siêu cấp)	0	107	30024	1	10	2	1438;1439	200;200	30;50	10;10	0;10	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\ằỡóỗếũễÀếổắớáÄa1.spr	\image\item\book\ằỡóỗếũễÀếổắớáÄa0.spr	Mật tịch lưu trữ quyền pháp cao cáp của Cái Bang Tịnh Y “Vô Song Hỗn Độn Trấn Nhạc”cùng với chiêu thức tinh túy của nhánh phái Tịnh Y		Mật tịch		70	0;60	1	11		
Quỳ Thiên Du Long Chân Quyển (Siêu cấp)	0	107	30025	1	10	2	1440;1441	200;200	30;50	10;10	0;10	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\ịủèỡểẻÁỳếổắớáÄa1.spr	\image\item\book\ịủèỡểẻÁỳếổắớáÄa0.spr	Mật tịch lưu trữ côn pháp cao cấp của Cái Bang Ô Y “Vô Song Quỳ Thiên Du Long Côn”cùng với chiêu thức tinh túy của nhánh phái Ô Y		Mật tịch		70	0;60	1	12		
Huyền ảnh Mê Tông Chân Quyển (Siêu cấp)	0	107	30026	1	10	0	1442;1443	10;10	0;10	200;200	30;50	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\ằÃể°ÃễìÙếổắớáÄa1.spr	\image\item\book\ằÃể°ÃễìÙếổắớáÄa0.spr	Mật tịch lưu trữ kiếm pháp thần bí của Võ Đang Đạo Gia “Vô Song Huyền ảnh Mê Tông Kiếm”cùng với chiêu thức tinh túy của nhánh phái Đạo Gia kiếm khí		Mật tịch		70	0;60	1	14		
Quân Tử Đới Phong Chân Quyển (Siêu cấp)	0	107	30027	1	10	0	1444;1445	200;200	30;50	10;10	0;10	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\ắýìểẵỉãỗếổắớáÄa1.spr	\image\item\book\ắýìểẵỉãỗếổắớáÄa0.spr	Mật tịch lưu trữ bút pháp thâm thúy của Võ Đang Tục Gia “Vô Song Quân Tử Đới Phong Quyết”cùng với chiêu thức tinh túy của nhánh phái Tục Gia		Mật tịch		70	0;60	1	15		
Trấn Quân Phi Long Thương Chân Quyển (Siêu cấp)	0	107	30028	1	10	1	1446;1447	200;200	30;50	10;10	0;10	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\ếũắỹãẫÁỳầạếổắớáÄa1.spr	\image\item\book\ếũắỹãẫÁỳầạếổắớáÄa0.spr	Mật tịch lưu trữ tâm pháp bí truyền của Dương Môn Thương Kỵ “Vô Song Trấn Quên Phi Long Thương”cùng với chiêu thức tinh túy của nhánh phái Thương Kỵ		Mật tịch		70	0;60	1	17		
Xuyên Vân Lạc Hồng Chân Quyển (Siêu cấp)	0	107	30029	1	10	1	1448;1449	200;200	30;50	10;10	0;10	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\´âễặÂọºỗếổắớáÄa1.spr	\image\item\book\´âễặÂọºỗếổắớáÄa0.spr	Mật tịch lưu trữ tiễn thuật bí truyền của Dương Môn Cung Kỵ “Vô Song Xuyên Vân Lạc Hồng TIễn”cùng với chiêu thức tinh túy của nhánh phái Cung Kỵ		Mật tịch		70	0;60	1	18		
Huyền Minh Phong Ma Chân Quyển (Siêu cấp)	0	107	30030	1	10	1	1450;1451	200;200	30;50	10;10	0;10	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\ểÄÚÔãõÄĐếổắớáÄa1.spr	\image\item\book\ểÄÚÔãõÄĐếổắớáÄa0.spr	Mật tịch lưu trữ tà thuật linh chú của Ngũ Độc Tà Hiệp“Vô Song U Minh Phong Ma Quyết”cùng với chiêu thức tinh túy của nhánh phái Tà Hiệp ám thuật		Mật tịch		70	0;60	1	20		
Linh Cổ Huyền Tà Chân Quyển (Siêu cấp)	0	107	30031	1	10	1	1452;1453	10;10	0;10	200;200	30;50	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\ÁộạặằÃé°ếổắớáÄa1.spr	\image\item\book\ÁộạặằÃé°ếổắớáÄa0.spr	Mật tịch lưu trữ cổ linh thần bí của Ngũ Độc Cổ Sư “Vô Song Huyền Linh Cổ”cùng với chiêu thức tinh túy của nhánh phái Cổ Sư cổ thuật		Mật tịch		70	0;60	1	21		
Cửu Thiên Phong Lôi Chân Quyển (Siêu cấp)	0	107	30032	1	10	0	1454;1455	10;10	0;10	200;200	30;50	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\ắÅèỡãỗÀìếổắớáÄa1.spr	\image\item\book\ắÅèỡãỗÀìếổắớáÄa0.spr	Ghi lại bùa pháp thần bí của Côn Lôn Thiên Sư "Vô Song Cửu Thiên Phong Lôi Quyết" với sự tinh túy của chiêu thức		Mật tịch		70	0;60	1	23		
Hồng Trần Túy Mộng Chân Quyển (Siêu cấp)	0	107	30033	1	10	0	1462;1463	200;200	30;50	10;10	0;10	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\ºỡ³ắìớÃẻếổắớáÄa1.spr	\image\item\book\ºỡ³ắìớÃẻếổắớáÄa0.spr	Ghi lại vũ nghệ tuyệt thế của Thúy Yên Vũ Tiên "Vô Song Hồng Trần Túy Mộng Ngâm" với sự tinh túy của chiêu thức.		Mật tịch		70	0;60	1	29		
Phong Hoa Thiên Diệp Chân Quyển (Siêu cấp)	0	107	30034	1	10	0	1464;1465	200;200	30;50	10;10	0;10	200;200	30;50	200;200	30;50	30;30	10	\image\item\book\ãỗằăầĐềảếổắớáÄa1.spr	\image\item\book\ãỗằăầĐềảếổắớáÄa0.spr	Ghi lại chuyển thế kỳ thuật của Thúy Yên Linh Nữ "Vô Song Phong Hoa Thiên Diệp" với tâm pháp tinh túy của chiêu thức		Mật tịch		70	0;60	1	30		
Hồi Phong Trảm Nhật Chân Quyển (Cao Cấp)	0	107	30035	1	10	0	1456;1457	150;150	30;50	10;10	0;10	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\ằỉãổếảẩếếổắớa1.spr	\image\item\book\ằỉãổếảẩếếổắớa0.spr	Ghi lại chiến pháp bất bại "Vô Song Hồi Phong Trảm Nhật Công" của Minh Giao Thánh Chiến, ngoài ra có ghi lại những tinh túy trong chiêu thức của Thánh Chiến		Mật tịch		70	0;60	1	25		
Phụ Kỳ Hành Trận Chân Quyển (Cao Cấp)	0	107	30036	1	10	0	1458;1459	150;150	30;50	10;10	0;10	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\áºặỡééếúếổắớa1.spr	\image\item\book\áºặỡééếúếổắớa0.spr	Ghi lại trận pháp huyền diệu "Vô Song Phụ Kỳ Hành Trận Lệnh" của Minh Giáo Trận Binh, ngoài ra có ghi lại những tinh túy trong chiêu thức của Trận Binh		Mật tịch		70	0;60	1	26		
Ngưng Huyết Phong Hồn Chân Quyển (Cao Cấp)	0	107	30037	1	10	0	1460;1461	10;10	0;10	150;150	30;50	150;150	30;50	150;150	30;50	20;30	10	\image\item\book\Äýẹêãõằờếổắớa1.spr	\image\item\book\Äýẹêãõằờếổắớa0.spr	Ghi lại trận bùa chú "VÔ Song Ngưng Phong Hồn ấn" của Minh Giáo Huyết Nhân, ngoài ra có ghi lại những tinh túy trong chiêu thức của Huyêt Nhân		Mật tịch		70	0;60	1	27		
Hồi Phong Trảm Nhật Chân Quyển (Siêu Cấp)	0	107	30038	1	10	0	1456;1457	200;200	30;50	10;10	0;10	200;200	30;50	200;200	30;50	20;30	10	\image\item\book\ằỉãổếảẩếếổắớa1.spr	\image\item\book\ằỉãổếảẩếếổắớa0.spr	Ghi lại chiến pháp bất bại "Vô Song Hồi Phong Trảm Nhật Công" của Minh Giao Thánh Chiến, ngoài ra có ghi lại những tinh túy trong chiêu thức của Thánh Chiến		Mật tịch		70	0;60	1	25		
Phụ Kỳ Hành Trận Chân Quyển (Siêu Cấp)	0	107	30039	1	10	0	1458;1459	200;200	30;50	10;10	0;10	200;200	30;50	200;200	30;50	20;30	10	\image\item\book\áºặỡééếúếổắớa1.spr	\image\item\book\áºặỡééếúếổắớa0.spr	Ghi lại trận pháp huyền diệu "Vô Song Phụ Kỳ Hành Trận Lệnh" của Minh Giáo Trận Binh, ngoài ra có ghi lại những tinh túy trong chiêu thức của Trận Binh		Mật tịch		70	0;60	1	26		
