Tên	Loại hình chính	Loại hình phụ	Phân loại chi tiết	Nặng	Giá	Sếp chồng nhiều nhất	Hồi phục thuộc tính1	Trị số phục hồi thuộc tính mỗi nữa giây (1)	Hồi phục thuộc tính2	Trị số phục hồi thuộc tính mỗi nữa giây (2)	Hồi phục thuộc tính3	Trị số phục hồi thuộc tính mỗi nữa giây (3)	Hồi phục thuộc tính4	Trị số phục hồi thuộc tính mỗi nữa giây (4)	Thời gian duy trì hiệu lực (Số chẵn)	Lưu ( Chữ số)	Lưu ( Chữ số)	Hiện hình nhỏ trên giao diện	Hiện hình lớn trên giao diện	Thuyết minh	Lưu (chuỗi ký tự)	Khi vứt ra ngoài sẽ hiển thị tên	File gốc	Cấp	Có/không thể giao dịch (0 được,1 không được,)	Có/không thể vứt (0 được; 1 không được)	Lưu 2	Lưu 3
Phối thạch cấp 5 (sát thương tăng)	2	21	2088	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, sát thương tăng 150, cách ghép (Vũ khí), rất quý		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 1 (Kháng tất cả áo)	2	21	2089	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, kháng tất cả tăng 4 (Y phục), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 2 (Kháng tất cả áo)	2	21	2090	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, kháng tất cả tăng 8 (Y phục), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 3 (Kháng tất cả áo)	2	21	2091	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, kháng tất cả tăng 12 (Y phục), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 4 (Kháng tất cả áo)	2	21	2092	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, kháng tất cả tăng 16 (Y phục), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 5 (Kháng tất cả áo)	2	21	2093	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, kháng tất cả tăng 2 (Y phục), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 1 (Kháng tất cả vũ khí)	2	21	2094	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, kháng tất cả tăng 4 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 2 (Kháng tất cả vũ khí)	2	21	2095	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, kháng tất cả tăng 8 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 3 (Kháng tất cả vũ khí)	2	21	2096	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, kháng tất cả tăng 12 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 4 (Kháng tất cả vũ khí)	2	21	2097	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, kháng tất cả tăng 16 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 5 (Kháng tất cả vũ khí)	2	21	2098	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, kháng tất cả tăng 2 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 1 (Kháng tất cả nón)	2	21	2099	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, kháng tất cả tăng 4 (Nón), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 2 (Kháng tất cả nón)	2	21	2100	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, kháng tất cả tăng 8 (Nón), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 3 (Kháng tất cả nón)	2	21	2101	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, kháng tất cả tăng 12 (Nón), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 4 (Kháng tất cả nón)	2	21	2102	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, kháng tất cả tăng 16 (Nón), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 5 (Kháng tất cả nón)	2	21	2103	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, kháng tất cả tăng 2 (Nón), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 1 (Kháng tất cả hạ y)	2	21	2104	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, kháng tất cả tăng 4 (Hạ y), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 2 (Kháng tất cả hạ y)	2	21	2105	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, kháng tất cả tăng 8 (Hạ y), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 3 (Kháng tất cả hạ y)	2	21	2106	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, kháng tất cả tăng 12 (Hạ y), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 4 (Kháng tất cả hạ y)	2	21	2107	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, kháng tất cả tăng 16 (Hạ y), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 5 (Kháng tất cả hạ y)	2	21	2108	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, kháng tất cả tăng 2 (Hạ y), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 1 (xác suất xuất chiêu)	2	21	2109	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, xác suất xuất chiêu tăng 2 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 2 (xác suất xuất chiêu)	2	21	2110	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, xác suất xuất chiêu tăng 3 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 3 (xác suất xuất chiêu)	2	21	2111	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, xác suất xuất chiêu tăng 4 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 4 (xác suất xuất chiêu)	2	21	2112	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, xác suất xuất chiêu tăng 5 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 1 (tốc độ xuất chiêu)	2	21	2113	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, tốc độ xuất chiêu tăng 5 (Nón), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 2 (tốc độ xuất chiêu)	2	21	2114	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, tốc độ xuất chiêu tăng 10 (Nón), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 3 (tốc độ xuất chiêu)	2	21	2115	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, tốc độ xuất chiêu tăng 15 (Nón), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 4 (tốc độ xuất chiêu)	2	21	2116	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, tốc độ xuất chiêu tăng 20 (Nón), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 5 (tốc độ xuất chiêu)	2	21	2117	1	0	1												\image\item\other\áòẳảÅọãẵa1.spr	\image\item\other\áòẳảÅọãẵa0.spr	Ghi chép Thần cấp linh thạch, tốc độ xuất chiêu tăng 25 (Nón), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 1 (nội lực tiêu hao)	2	21	2118	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, nội lực đối phương tiêu hao 2 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 2 (nội lực tiêu hao)	2	21	2119	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, nội lực đối phương tiêu hao 4 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 3 (nội lực tiêu hao)	2	21	2120	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, nội lực đối phương tiêu hao 6 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 1 (độc sát)	2	21	2121	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, tấn công kèm theo độc sát 10 điểm (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 2 (độc sát)	2	21	2122	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, tấn công kèm theo độc sát 25 điểm (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 3 (độc sát)	2	21	2123	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, tấn công kèm theo độc sát 40 điểm (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 4 (độc sát)	2	21	2124	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, tấn công kèm theo độc sát 55 điểm (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 5 (độc sát)	2	21	2125	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, tấn công kèm theo độc sát 70 điểm (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 6 (độc sát)	2	21	2126	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, tấn công kèm theo độc sát 85 điểm (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 7 (độc sát)	2	21	2127	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, tấn công kèm theo độc sát 100 điểm (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 1 (phá phòng thủ )	2	21	2128	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Phá phòng thủ đối phương 4% (vũ khí)		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 2 (phá phòng thủ )	2	21	2129	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Phá phòng thủ đối phương 7% (vũ khí)		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 3 (phá phòng thủ )	2	21	2130	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, phá phòng thủ đối phương 10 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 1 (sinh lực vũ khí)	2	21	2131	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 3 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 2 (sinh lực vũ khí)	2	21	2132	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 5 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 3 (sinh lực vũ khí)	2	21	2133	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 7 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 4 (sinh lực vũ khí)	2	21	2134	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 9 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 5 (sinh lực vũ khí)	2	21	2135	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 11 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 6 (sinh lực vũ khí)	2	21	2136	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 13 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 7 (sinh lực vũ khí)	2	21	2137	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 15 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 1 (sinh lực áo)	2	21	2138	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 3 (Y phục), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 2 (sinh lực áo)	2	21	2139	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 5 (Y phục), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 3 (sinh lực áo)	2	21	2140	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 7 (Y phục), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 4 (sinh lực áo)	2	21	2141	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 9 (Y phục), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 5 (sinh lực áo)	2	21	2142	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 11 (Y phục), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 6 (sinh lực áo)	2	21	2143	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 13 (Y phục), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 7 (sinh lực áo)	2	21	2144	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 15 (Y phục), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 1 (sinh lực nón)	2	21	2145	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 3 (Nón), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 2 (sinh lực nón)	2	21	2146	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 5 (Nón), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 3 (sinh lực nón)	2	21	2147	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 7 (Nón), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 4 (sinh lực nón)	2	21	2148	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 9 (Nón), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 5 (sinh lực nón)	2	21	2149	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 11 (Nón), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 6 (sinh lực nón)	2	21	2150	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 13 (Nón), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 7 (sinh lực nón)	2	21	2151	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 15 (Nón), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 1 (sinh lực hạ y)	2	21	2152	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 3 (Hạ y), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 2 (sinh lực hạ y)	2	21	2153	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 5 (Hạ y), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 3 (sinh lực hạ y)	2	21	2154	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 7 (Hạ y), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 4 (sinh lực hạ y)	2	21	2155	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 9 (Hạ y), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 5 (sinh lực hạ y)	2	21	2156	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 11 (Hạ y), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 6 (sinh lực hạ y)	2	21	2157	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 13 (Hạ y), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 7 (sinh lực hạ y)	2	21	2158	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, sinh lực tăng 15 (Hạ y), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 1 (nội lực vũ khí)	2	21	2159	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, nội lực tăng 3 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 2 (nội lực vũ khí)	2	21	2160	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, nội lực tăng 5 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 3 (nội lực vũ khí)	2	21	2161	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, nội lực tăng 7 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 4 (nội lực vũ khí)	2	21	2162	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, nội lực tăng 9 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 5 (nội lực vũ khí)	2	21	2163	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, nội lực tăng 11 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 6 (nội lực vũ khí)	2	21	2164	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, nội lực tăng 13 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 7 (nội lực vũ khí)	2	21	2165	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, nội lực tăng 15 (Vũ khí), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 1 (nội lực áo)	2	21	2166	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, nội lực tăng 3 (Y phục), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
Phối thạch cấp 2 (nội lực áo)	2	21	2167	1	0	1												\image\item\other\ệéẳảÅọãẵa1.spr	\image\item\other\ệéẳảÅọãẵa0.spr	Ghi chép Tiên cấp linh thạch, nội lực tăng 5 (Y phục), điểm thuộc tính có thay đổi		Thần bí	\script\item\lingshipeifang.lua	1	0	0		
